username,followers,following,posts,bio_length,profile_pic,external_url,is_fake
fake_user_1,67,602,4,7,0,1,1
fake_user_2,81,919,10,17,0,1,1
fake_user_3,226,630,0,2,0,1,1
fake_user_4,129,2569,9,0,0,1,1
fake_user_5,289,2218,3,14,1,1,1
fake_user_6,13,1153,6,10,1,1,1
fake_user_7,89,1381,5,3,0,1,1
fake_user_8,204,896,5,11,1,1,1
fake_user_9,32,2381,8,3,1,1,1
fake_user_10,50,2761,4,20,1,1,1
fake_user_11,108,784,0,7,1,1,1
fake_user_12,50,1453,1,12,1,1,1
fake_user_13,242,1994,2,11,1,1,1
fake_user_14,117,1593,10,20,0,1,1
fake_user_15,97,2687,3,5,1,1,1
fake_user_16,204,1605,10,17,0,1,1
fake_user_17,176,729,3,1,1,1,1
fake_user_18,215,1596,1,6,1,1,1
fake_user_19,118,2544,6,20,1,1,1
fake_user_20,83,1584,2,7,1,1,1
fake_user_21,229,2890,6,11,0,1,1
fake_user_22,80,2587,7,2,0,1,1
fake_user_23,66,1126,10,5,1,1,1
fake_user_24,42,2076,6,19,1,1,1
fake_user_25,280,1529,8,0,0,1,1
fake_user_26,284,1592,10,10,0,1,1
fake_user_27,160,2280,2,14,0,1,1
fake_user_28,144,2550,2,16,0,1,1
fake_user_29,162,2579,9,6,0,1,1
fake_user_30,201,1161,8,16,0,1,1
fake_user_31,175,2501,0,3,1,1,1
fake_user_32,167,1480,0,7,0,1,1
fake_user_33,53,2490,1,17,0,1,1
fake_user_34,75,2446,8,5,1,1,1
fake_user_35,280,2984,6,6,0,1,1
fake_user_36,169,2134,10,20,1,1,1
fake_user_37,234,2619,7,3,0,1,1
fake_user_38,125,762,5,0,0,1,1
fake_user_39,122,529,1,20,0,1,1
fake_user_40,127,776,0,10,0,1,1
fake_user_41,273,1474,4,15,0,1,1
fake_user_42,286,1041,9,18,1,1,1
fake_user_43,134,2437,6,6,0,1,1
fake_user_44,59,2265,5,13,1,1,1
fake_user_45,249,721,10,20,0,1,1
fake_user_46,41,2149,5,3,0,1,1
fake_user_47,108,1279,8,14,0,1,1
fake_user_48,226,1251,4,14,0,1,0
fake_user_49,48,2315,8,3,0,1,1
fake_user_50,286,560,1,7,0,1,1
real_user_1,3629,298,256,57,1,1,0
real_user_2,780,134,204,30,1,1,0
real_user_3,2472,451,242,66,1,1,0
real_user_4,4852,388,259,49,1,0,0
real_user_5,2730,161,39,104,1,0,0
real_user_6,2869,79,35,104,1,1,0
real_user_7,4419,486,281,50,1,0,0
real_user_8,4460,91,105,38,1,0,0
real_user_9,2226,256,71,102,1,0,0
real_user_10,625,367,51,83,1,1,0
real_user_11,2436,154,170,60,1,1,0
real_user_12,3542,117,163,88,1,1,0
real_user_13,894,54,244,109,1,0,0
real_user_14,900,325,119,94,1,1,0
real_user_15,1385,228,45,61,1,1,0
real_user_16,2634,130,234,99,1,1,0
real_user_17,4633,54,293,68,1,0,0
real_user_18,1400,185,69,43,1,0,0
real_user_19,2531,194,117,73,1,0,0
real_user_20,2462,308,260,62,1,0,0
real_user_21,1056,374,226,65,1,0,0
real_user_22,329,220,76,111,1,1,0
real_user_23,1623,429,236,100,1,1,0
real_user_24,4894,54,67,39,1,0,0
real_user_25,4769,68,199,104,1,0,0
real_user_26,3820,115,31,69,1,1,0
real_user_27,626,233,117,117,1,0,0
real_user_28,1142,231,296,82,1,0,0
real_user_29,2239,492,93,52,1,1,0
real_user_30,503,141,180,82,1,0,0
real_user_31,2485,131,65,78,1,0,0
real_user_32,4155,163,112,88,1,1,0
real_user_33,2800,470,126,58,1,0,0
real_user_34,1882,254,178,65,1,0,0
real_user_35,2586,229,270,81,1,1,0
real_user_36,526,109,143,52,1,1,0
real_user_37,613,105,232,74,1,1,0
real_user_38,3874,360,271,44,1,1,0
real_user_39,1857,180,32,120,1,1,0
real_user_40,313,316,285,117,1,0,0
real_user_41,3283,270,45,115,1,1,0
real_user_42,2871,389,73,68,1,1,0
real_user_43,3645,217,216,119,1,1,0
real_user_44,4841,115,108,83,1,1,0
real_user_45,1725,365,164,81,1,0,0
real_user_46,2789,196,117,85,1,1,0
real_user_47,4109,276,236,116,1,0,0
real_user_48,4487,292,96,114,1,0,0
real_user_49,2624,313,181,41,1,0,0
real_user_50,2842,165,111,48,1,0,0
